resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,rank
1999,114,4,4,8,8,5,5,5,4,78,36.251,6175261,0
2000,114,15,4,7,4,6,6,6,3,78,40.972,6179982,0
2001,114,14,1,5,6,7,7,7,2,78,41.227,6180237,0
2002,114,22,6,2,7,8,8,8,1,78,53.266,6192276,0
2003,114,43,7,21,10,9,9,9,0,77,0,0,0
2004,114,21,17,11,12,10,10,10,0,77,0,0,0
2005,114,2,15,9,14,11,11,11,0,76,0,0,0
2006,114,52,17,12,16,12,12,12,0,76,0,0,0
2007,114,44,7,20,17,13,13,13,0,74,0,0,0
2008,114,35,16,16,11,0,0,14,0,63,0,0,0
2009,114,51,18,18,19,0,0,15,0,29,0,0,0
2010,114,50,18,19,18,0,0,16,0,28,0,0,0
2011,114,17,19,14,9,0,0,17,0,16,0,0,0
2012,114,42,19,15,13,0,0,18,0,10,0,0,0
2013,114,49,15,10,15,0,0,19,0,0,0,0,0
2014,114,18,16,17,20,0,0,20,0,0,0,0,0
2015,115,30,6,1,3,1,1,1,10,70,31:13.6,5473591,0
2016,115,23,3,4,1,2,2,2,8,70,0.784,5474375,0
2017,115,31,3,3,2,3,3,3,6,70,1.355,5474946,0
2018,115,4,4,8,4,4,4,4,5,70,4.481,5478072,0
2019,115,22,6,2,5,5,5,5,4,70,+1:04.261,5537852,0
2020,115,8,1,6,20,6,6,6,3,70,+1:10.502,5544093,0
2021,115,17,19,14,6,7,7,7,2,69,0,0,0
2022,115,44,7,20,7,8,8,8,1,69,0,0,0
2023,115,50,18,19,15,9,9,9,0,68,0,0,0
2024,115,42,19,15,13,10,10,10,0,64,0,0,0
2025,115,43,7,21,9,11,11,11,0,64,0,0,0
2026,115,51,18,18,18,0,0,12,0,60,0,0,0
2027,115,18,16,17,17,0,0,13,0,51,0,0,0
2028,115,14,1,5,11,0,0,14,0,47,0,0,0
2029,115,2,15,9,12,0,0,15,0,47,0,0,0
2030,115,15,4,7,8,0,0,16,0,22,0,0,0
2031,115,21,17,11,16,0,0,17,0,20,0,0,0
2032,115,52,17,12,19,0,0,18,0,20,0,0,0
2033,115,35,16,16,14,0,0,19,0,14,0,0,0
2034,115,49,15,10,10,0,0,20,0,6,0,0,0
2035,116,23,3,4,3,1,1,1,10,60,34:43.6,5683622,0
2036,116,31,3,3,4,2,2,2,8,60,16.821,5700443,0
2037,116,22,6,2,5,3,3,3,6,60,39.673,5723295,0
2038,116,4,4,8,8,4,4,4,5,60,+1:05.731,5749353,0
2039,116,30,6,1,2,5,5,5,4,60,+1:06.162,5749784,0
2040,116,17,19,14,11,6,6,6,3,59,0,0,0
2041,116,18,16,17,12,7,7,7,2,59,0,0,0
2042,116,2,15,9,20,8,8,8,1,59,0,0,0
2043,116,49,15,10,15,9,9,9,0,59,0,0,0
2044,116,42,19,15,16,10,10,10,0,59,0,0,0
2045,116,52,17,12,14,11,11,11,0,58,0,0,0
